আমি বোস্টন থেকে 8:38 টায় উড়ে যেতে চাই এবং সকালে 11:10 এ ডেনভারে পৌঁছাতে চাই,O B-fromloc.city_name O B-depart_time.time O O O O O B-arrive_time.time O B-toloc.city_name O O
কি কি ফ্লাইট বৃহস্পতিবার সকালে পিটসবুর্গ থেকে বাল্টিমোরের জন্য পাওয়া যাবে,O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name O O O
"যেই ফ্লাইটটা 7:55 তে ওয়াশিংটন থেকে ছাড়বে, ওটা সানফ্রান্সিসকোতে কটায় আসবে",O O B-flight_time I-flight_time B-depart_time.time O O O O O
সস্তা বিমান ভাড়া টাকোমা থেকে অরল্যান্ডো,B-fromloc.city_name O B-toloc.city_name O O O O
 1000 ডলারের মধ্যে রাউন্ড ট্রিপ ভাড়া পিটসবার্গ থেকে ফিলাডেলফিয়া,B-fromloc.city_name O B-toloc.city_name O B-fare_amount O O B-round_trip I-round_trip O
আমার কাল একটা ফ্লাইট দরকার কলম্বাস থেকে মিনিয়াপোলিসএর জন্য,O B-fromloc.city_name O B-toloc.city_name B-depart_date.today_relative O O O
ক্লিভল্যান্ড থেকে ডালাস যাওয়ার একটি ফ্লাইটে কি ধরনের বিমান ব্যবহার করা হয়,B-fromloc.city_name O B-toloc.city_name O O O O O O O O
বৃহস্পতিবারের পিটসবার্গ থেকে লস এঞ্জেলেসএ যাওয়ার ফ্লাইট দেখান,B-depart_date.day_name B-fromloc.city_name O O I-toloc.city_name O O O
বোস্টন থেকে ওয়াশিংটন যাওয়ার সব ফ্লাইট,B-fromloc.city_name O B-toloc.city_name O O
ডেনভারএ  কি ধরণের স্থল পরিবহন পাওয়া যায়,O O O O B-city_name O O
আমাকে ডালাস থেকে সান ফ্রান্সিস্কো যাওয়ার ফ্লাইট দেখান,O B-fromloc.city_name O O I-toloc.city_name O O
হাউস্টনের পথে সান ডিয়েগো থেকে নানার্ক যাওয়ার ফ্লাইটগুলি দেখান,B-stoploc.city_name O O O O I-fromloc.city_name O O O
অরলান্ডএ বিমানবন্দর কি,B-city_name O O O
বোস্টন থেকে বুই যাওয়ার সবচেয়ে সস্তা ফ্লাইট কি,B-fromloc.city_name O O O O O O
সন্ধে 6 টার পর বাল্টিমোরএ তে সব ফ্লাইট!,O O B-depart_time.time O B-toloc.city_name O O
আমাকে বোস্টন থেকে ডেনভারের প্রথম শ্রেণীর ভাড়া দেখান,O B-fromloc.city_name O B-toloc.city_name O I-class_type O O
আমাকে ডেনভারের মধ্যে স্থল পরিবহন দেখান ,O B-city_name O O O O
 সন্ধ্যায় 6 টার এবং সন্ধ্যায় 7 টার সমস্ত ফ্লাইট ড্যানভার থেকে পিটসবার্গ ছাড়ার,B-fromloc.city_name O B-toloc.city_name O B-depart_time.time O O O B-depart_time.time O O O O O
 আমার ফ্লাইটের তথ্য দরকার ডালাস থেকে বোস্টনের এবং বস্টন থেকে বেল্টিমোর যাওয়ার।,B-fromloc.city_name O B-fromloc.city_name O O O O O O O O O O O O O
আমাকে আগামী সপ্তাহের বস্টন থেকে পিটসবার্গের ফ্লাইটগুলি দিন,O O O O O B-toloc.city_name O O
আমি ইউনাইটেড এয়ারলাইন্সে ডেনভার থেকে পিটসবার্গে উড়ে যেতে চাই,O B-airline_name I-airline_name B-fromloc.city_name O B-toloc.city_name O O O
আমাকে সান ডিয়েগো থেকে নেয়ারকএর  ফ্লাইট দেখান,O O I-fromloc.city_name O O O O
দয়া করে ইউনাইটেডএর সমস্ত প্রথম শ্রেণীর ফ্লাইটএর তালিকা ডেনভার থেকে বেল্টিমোরএর দিন  ,B-fromloc.city_name O O O O O I-class_type O O O O
মার্কিন বিমান সংস্থার দ্বারা কি ধরনের বিমান ব্যবহার করা হয়,O O O O O O O O O O
আমার ডিনভার থেকে পিটসবার্গ এবং আটলান্টা যাওয়ার একটি টিকিটের কিছু তথ্য চাই,O B-fromloc.city_name O B-toloc.city_name O B-toloc.city_name O O O O O O
আমি আটলান্টা থেকে ডেনভারএর একটি ফ্লাইট বুক করতে চাই,O B-fromloc.city_name O B-toloc.city_name O O O O O O
কোন এয়ারলাইন ডেভর পিটসবার্গ এবং আটলান্টাকে সেবা করে,O O O B-fromloc.city_name O O O O
আগামী সপ্তাহের বুধবারের বস্টন থেকে পিটসবার্গ যাওয়ার সমস্ত ফ্লাইট দেখান যা বস্টন ছেড়ে যাবে দুপুর ২টার পর. ,O O O O O O O O O O O O O O O O O
আটলান্টা স্থল পরিবহন,B-city_name O O
আমারো ডালাস থেকে বোস্টন পৌঁছানো দুপুরের মধ্যের সেবা চাই,O B-fromloc.city_name O B-toloc.city_name O B-arrive_time.time O O O
আমাকে বেল্টিমোর থেকে ডালাস যাওয়ার সস্তা রাউন্ড ট্রিপ ভাড়া দেখান,O O O B-toloc.city_name O O B-round_trip I-round_trip O O
আমাকে উত্তর পশ্চিম এয়ারলাইন্সের সকাল 7:20 মিনিটের নিউইয়র্ক থেকে মিল্লাউকি যাওয়ার সব ফ্লাইট দেখান,O O B-toloc.city_name O O O O O O I-airline_name O B-depart_time.time O
নিউ ইয়র্ক থেকে মিয়ামির ফ্লাইট,B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O
দয়া করে ডেল্টাতে ফিলাডেলফিয়া থেকে সান ফ্রান্সিস্কোর কোনো ফ্লাইট দেখুন এবং আমাকে ফ্লাইট নম্বর দিন,B-fromloc.city_name O O I-toloc.city_name O B-airline_name O O O O O O
আমার ডালাস থেকে সান ফ্রান্সিস্কোর একটি ফ্লাইট প্রয়োজন,O B-fromloc.city_name O O I-toloc.city_name O O O
পিটসবার্গ থেকে ফিলাডেলফিয়ার ভাড়া এবং ফ্লাইট,B-fromloc.city_name O B-toloc.city_name O O O O
আমাকে প্রথম শ্রেণীর ফ্লাইট সহ বিমান সংস্থা দেখান,O O I-class_type O O O O O
সেন্টলুইস থেকে বুরব্যাংকের রবিবার সন্ধ্যায় কি কি ফ্লাইট আছে ,B-fromloc.city_name O O O B-depart_date.day_name B-depart_time.period_of_day O O
আমি পিটসবার্গ থেকে আটলান্টার একটি ফ্লাইট ব্যবস্থা করতে চাই,O B-fromloc.city_name O O O O O O O
আমাকে বাল্টিমোর থেকে সান ফ্রান্সিস্কোর ফ্লাইট শুক্রবারের সন্ধে 6 টা থেকে 8 টার মধ্যের দেখান,B-depart_date.day_name O B-depart_time.start_time O O O B-depart_time.end_time O O O O O I-toloc.city_name O O O
অরল্যান্ডো এয়ারপোর্ট থেকে অরল্যান্ডো কত দূর,B-toloc.city_name I-fromloc.airport_name O O O O O
আমি সাতাশ এবং আঠাশে ডিসেম্বরের জন্য ইন্ডিয়ানাপলিস এবং অরল্যান্ডো ফ্লোরিডার মধ্যে রাউন্ড ট্রিপ ফ্লাইটের একটি তালিকা চাই,O B-depart_date.day_number I-depart_date.day_number O O I-depart_date.day_number O O B-fromloc.city_name O B-toloc.city_name O O B-round_trip O O O O
কোন এয়ারলাইনএর সবচেয়ে বেশি আগমন হয়ে আটলান্টায় ,B-toloc.city_name O B-mod O O O O
কোন বিমান সংস্থাগুলি নিউ ইয়র্ক থেকে মিলওয়াউকি থেকে লস এঞ্জেলস পর্যন্ত উড়বে,O O B-fromloc.city_name I-fromloc.city_name O B-stoploc.city_name O O O O O
পিটসবুর্গ থেকে ডেনভার,O O B-toloc.city_name
কোন এয়ারলাইন্স আটলান্টার সেবা করে ,O O B-city_name O O
ডালাসের জন্য স্থল পরিবহন সম্পর্কে তথ্য প্রদর্শন করুন ,B-city_name O O O O O O
ভাড়া কোড এইচ কি,O O B-fare_basis_code O
বোস্টন থেকে ডালাস ফোর্টএর সমস্ত দুপুরের আগে পৌঁছানোর ফ্লাইট দেখান দুটোই সরাসরি এবং কানেকটিং,B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-arrive_time.time B-arrive_time.time_relative O O O O O O O O O
আমার আজ সন্ধের ফ্লাইট চাই শার্লট থেকে নেওয়ার্কের যাওয়ার ,O B-depart_date.today_relative B-depart_time.period_of_day O B-toloc.city_name B-fromloc.city_name O O O O
কি কি সময়ে প্লেন আছে জুলাই 7 এর সানফ্রান্সিসকো থেকে পিটসবুর্গ যাওয়ার আপনার কাছে ,O O I-fromloc.city_name O B-depart_date.month_name B-depart_date.day_number B-toloc.city_name O O O O O B-flight_time
নেওয়ার্ক থেকে ক্লিভল্যান্ডএর ফ্লাইটগুলি  ,B-fromloc.city_name O B-toloc.city_name O O
কোন কোন ফ্লাইটগুলি মঙ্গলবার 6টার পর বোস্টন থেকে পিটসবুর্গ যায়,O O B-depart_date.date_relative B-depart_date.day_name B-depart_time.time O O B-fromloc.city_name O B-toloc.city_name O
পিটসবুর্গএর মধ্যে লিমোজিনএর সেবার ভাড়া কত,B-city_name O O O O O
ইউ এস এয়ারএর কি আটলান্টা থেকে ডেনভারের কোনো ফ্লাইট আছে,O O B-fromloc.city_name O O O O B-toloc.city_name
বুকিং ক্লাস সি কি?,O O O
আমি বোস্টন এবং সান ফ্রান্সিস্কো মধ্যের সংক্ষিপ্ততম ট্রিপ জানতে চাই,O B-fromloc.city_name O O I-toloc.city_name O O O O O
আমি কিছু তথ্য জানতে চাই সোমবারের ফ্লাইটের যা সানফ্রান্সিসকো থেকে উড়ে যাবে দুপুর 12 টার পর ,O O I-fromloc.city_name O B-depart_date.day_name O B-toloc.city_name O B-depart_time.time O O O O O O O
সর্বনিম্ন ব্যায়বহুল বিমান ডেনভার থেকে আটলান্টা যাওয়ার কি আছে,B-fromloc.city_name O B-toloc.city_name O O I-cost_relative O O
আমি মঙ্গলবার সন্ধ্যায় ডালাস ছেড়ে এটলান্টায় ফিরে যাওয়ার ফ্লাইটগুলির জন্য তথ্য জানতে হবে,O B-depart_date.day_name B-depart_time.period_of_day B-fromloc.city_name O O O O O O O O O
কোন ফ্লাইট ডানেভার থেকে ব্লেটিমোরের প্রথম শ্রেণিতে চলে আসে ঐক্যবদ্ধ এয়ারলাইন্সে পৌঁছেছে সপ্তম,O O B-fromloc.city_name O O O O O O B-airline_name I-airline_name O B-arrive_date.day_number
আপনি কি দয়া করে আমাকে বলতে পারবেন কোন এয়ারলাইন্স টরন্টো থেকে সানদিয়েগো যায়,O B-fromloc.city_name O O I-toloc.city_name O O O O O O O O O O
"কি কি ফ্লাইট আছে আপনাদের বুরব্যাংক থেকে টাকোমা ওয়াশিংটনের
",O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name O O O
ফিলাডেলফিয়া এয়ারপোর্ট থেকে মূল শহরের স্থল পরিবহন কি?,B-fromloc.airport_name I-fromloc.airport_name O O O O O O
কোন এয়ারলাইন্সএ আজ প্রথম শ্রেণীর বিমান আছে ,O O O B-depart_date.today_relative O I-class_type O O
সান ফ্রান্সিস্কো থেকে আটলান্টা যাবার সর্বশেষ খাবার সরবরাহকারী ফ্লাইটটি খুঁজুন.,O I-fromloc.city_name O B-toloc.city_name O O O O O O
আমি এই আসছে রবিবারের ফিলাডেলফিয়া থেকে ডেনভারের ফ্লাইটের একটি সংরক্ষণ করতে চাই,O B-depart_date.date_relative O O B-fromloc.city_name O B-toloc.city_name O O O O O O
আমাকে বল্টিমোরএ তে থাকা এয়ারপোর্টগুলির একটি তালিকা দিন,O O O O O O
বস্টন থেকে ডেনভারের বুধবারের ফ্লাইট দেখান,O O B-depart_date.day_name O O O
বস্টন থেকে বেল্টিমোরএর  ফ্লাইটগুলি দেখান,B-fromloc.city_name O O O O
